Thermal	--	--	NH3	--	--	N2	--	--
nm	n	k	nm	n	k	nm	n	k
638,91565	2,14637	0,39441	638,91565	2,24488	0,3745	638,91565	2,53909	0,40972
640,49255	2,14403	0,39637	640,49255	2,24266	0,37551	640,49255	2,53745	0,4102
642,06946	2,14171	0,39836	642,06946	2,24045	0,37655	642,06946	2,53583	0,4107
643,64624	2,13942	0,40039	643,64624	2,23827	0,37763	643,64624	2,53423	0,41124
645,22302	2,13714	0,40245	645,22302	2,23609	0,37874	645,22302	2,53265	0,41181
646,79968	2,13489	0,40455	646,79968	2,23394	0,37989	646,79968	2,53108	0,4124
648,37634	2,13267	0,40668	648,37634	2,23179	0,38107	648,37634	2,52954	0,41303
649,95288	2,13046	0,40885	649,95288	2,22967	0,38228	649,95288	2,52802	0,41368
651,52942	2,12829	0,41105	651,52942	2,22756	0,38353	651,52942	2,52651	0,41436
653,10584	2,12613	0,41329	653,10584	2,22547	0,38482	653,10584	2,52503	0,41507
654,68225	2,124	0,41555	654,68225	2,22339	0,38614	654,68225	2,52356	0,41581
656,25861	2,1219	0,41785	656,25861	2,22133	0,38749	656,25861	2,52212	0,41657
657,83484	2,11983	0,42018	657,83484	2,21929	0,38887	657,83484	2,52069	0,41735
659,41101	2,11778	0,42255	659,41101	2,21727	0,39028	659,41101	2,51929	0,41816
660,98718	2,11575	0,42494	660,98718	2,21527	0,39173	660,98718	2,5179	0,419
662,56329	2,11376	0,42737	662,56329	2,21328	0,39321	662,56329	2,51654	0,41986
664,13928	2,11179	0,42982	664,13928	2,21132	0,39472	664,13928	2,5152	0,42075
665,71521	2,10985	0,43231	665,71521	2,20937	0,39626	665,71521	2,51387	0,42166
667,29114	2,10794	0,43483	667,29114	2,20745	0,39784	667,29114	2,51257	0,42259
668,86694	2,10606	0,43737	668,86694	2,20554	0,39944	668,86694	2,51129	0,42355
670,44275	2,1042	0,43995	670,44275	2,20365	0,40107	670,44275	2,51003	0,42452
672,01843	2,10238	0,44255	672,01843	2,20179	0,40274	672,01843	2,50879	0,42552
673,59406	2,10059	0,44518	673,59406	2,19995	0,40443	673,59406	2,50757	0,42654
675,16956	2,09882	0,44784	675,16956	2,19812	0,40615	675,16956	2,50637	0,42759
676,74506	2,09709	0,45053	676,74506	2,19632	0,40791	676,74506	2,50519	0,42865
678,3205	2,09539	0,45325	678,3205	2,19454	0,40969	678,3205	2,50403	0,42973
679,89587	2,09372	0,45599	679,89587	2,19278	0,41149	679,89587	2,5029	0,43084
681,47113	2,09208	0,45876	681,47113	2,19105	0,41333	681,47113	2,50178	0,43196
683,04633	2,09047	0,46155	683,04633	2,18933	0,41519	683,04633	2,50069	0,43311
684,62152	2,0889	0,46437	684,62152	2,18764	0,41708	684,62152	2,49962	0,43427
686,19659	2,08736	0,46721	686,19659	2,18598	0,419	686,19659	2,49856	0,43545
687,77161	2,08585	0,47008	687,77161	2,18434	0,42095	687,77161	2,49753	0,43665
689,34656	2,08437	0,47297	689,34656	2,18272	0,42292	689,34656	2,49652	0,43787
690,92139	2,08293	0,47589	690,92139	2,18112	0,42491	690,92139	2,49553	0,4391
692,49622	2,08152	0,47883	692,49622	2,17955	0,42694	692,49622	2,49457	0,44035
694,07092	2,08015	0,48179	694,07092	2,178	0,42898	694,07092	2,49362	0,44162
695,64557	2,07881	0,48477	695,64557	2,17648	0,43106	695,64557	2,49269	0,44291
697,22015	2,07751	0,48777	697,22015	2,17498	0,43315	697,22015	2,49179	0,44421
698,79462	2,07624	0,4908	698,79462	2,17351	0,43527	698,79462	2,49091	0,44553
700,36908	2,07501	0,49385	700,36908	2,17206	0,43742	700,36908	2,49005	0,44686
701,94342	2,07381	0,49691	701,94342	2,17064	0,43959	701,94342	2,48921	0,44821
703,5177	2,07265	0,5	703,5177	2,16925	0,44178	703,5177	2,48839	0,44958
705,09192	2,07153	0,5031	705,09192	2,16788	0,44399	705,09192	2,48759	0,45096
706,66608	2,07044	0,50623	706,66608	2,16654	0,44623	706,66608	2,48681	0,45235
708,24011	2,06939	0,50937	708,24011	2,16522	0,44848	708,24011	2,48606	0,45376
709,81409	2,06838	0,51253	709,81409	2,16394	0,45076	709,81409	2,48532	0,45518
711,388	2,0674	0,5157	711,388	2,16267	0,45307	711,388	2,48461	0,45662
712,96179	2,06647	0,5189	712,96179	2,16144	0,45539	712,96179	2,48392	0,45806
714,53552	2,06557	0,5221	714,53552	2,16023	0,45773	714,53552	2,48325	0,45953
716,10925	2,06471	0,52533	716,10925	2,15906	0,46009	716,10925	2,4826	0,461
717,6828	2,06388	0,52857	717,6828	2,15791	0,46247	717,6828	2,48197	0,46249
719,25629	2,0631	0,53182	719,25629	2,15678	0,46487	719,25629	2,48137	0,46399
720,82971	2,06236	0,53509	720,82971	2,15569	0,46729	720,82971	2,48078	0,4655
722,40308	2,06166	0,53837	722,40308	2,15463	0,46973	722,40308	2,48022	0,46702
723,97638	2,06099	0,54166	723,97638	2,15359	0,47219	723,97638	2,47968	0,46855
725,5495	2,06037	0,54496	725,5495	2,15258	0,47467	725,5495	2,47916	0,47009
727,12268	2,05979	0,54828	727,12268	2,15161	0,47716	727,12268	2,47866	0,47165
728,69568	2,05925	0,55161	728,69568	2,15066	0,47967	728,69568	2,47818	0,47322
730,26862	2,05875	0,55494	730,26862	2,14974	0,48219	730,26862	2,47772	0,47479
731,84143	2,05829	0,55829	731,84143	2,14885	0,48474	731,84143	2,47729	0,47638
733,41419	2,05787	0,56165	733,41419	2,148	0,48729	733,41419	2,47688	0,47797
734,98694	2,0575	0,56501	734,98694	2,14717	0,48987	734,98694	2,47648	0,47958
736,55951	2,05716	0,56838	736,55951	2,14637	0,49246	736,55951	2,47611	0,48119
738,13202	2,05688	0,57176	738,13202	2,14561	0,49506	738,13202	2,47576	0,48281
739,70447	2,05663	0,57515	739,70447	2,14487	0,49768	739,70447	2,47543	0,48445
741,27679	2,05643	0,57854	741,27679	2,14417	0,50031	741,27679	2,47513	0,48609
742,84906	2,05628	0,58193	742,84906	2,1435	0,50296	742,84906	2,47484	0,48773
744,42127	2,05617	0,58533	744,42127	2,14286	0,50561	744,42127	2,47458	0,48939
745,99335	2,05611	0,58874	745,99335	2,14225	0,50828	745,99335	2,47433	0,49105
747,56537	2,05611	0,59214	747,56537	2,14168	0,51097	747,56537	2,47411	0,49272
749,13733	2,05615	0,59553	749,13733	2,14113	0,51366	749,13733	2,47391	0,4944
750,70911	2,05625	0,59892	750,70911	2,14062	0,51637	750,70911	2,47373	0,49609
752,28088	2,05638	0,60229	752,28088	2,14015	0,51909	752,28088	2,47357	0,49778
753,85248	2,05656	0,60564	753,85248	2,1397	0,52182	753,85248	2,47344	0,49948
755,42407	2,05677	0,60899	755,42407	2,13929	0,52455	755,42407	2,47332	0,50119
756,99548	2,05703	0,61233	756,99548	2,13892	0,5273	756,99548	2,47323	0,5029
758,5669	2,05732	0,61565	758,5669	2,13858	0,53006	758,5669	2,47316	0,50461
760,13818	2,05765	0,61897	760,13818	2,13827	0,53282	760,13818	2,47311	0,50634
761,70935	2,05801	0,62227	761,70935	2,138	0,5356	761,70935	2,47308	0,50807
763,28052	2,05841	0,62556	763,28052	2,13777	0,53838	763,28052	2,47307	0,5098
764,8515	2,05884	0,62883	764,8515	2,13757	0,54117	764,8515	2,47309	0,51154
766,42242	2,05931	0,6321	766,42242	2,13741	0,54396	766,42242	2,47312	0,51328
767,99329	2,05981	0,63535	767,99329	2,13729	0,54676	767,99329	2,47318	0,51503
769,56403	2,06035	0,63859	769,56403	2,13721	0,54957	769,56403	2,47326	0,51678
771,13464	2,06092	0,64181	771,13464	2,13718	0,55237	771,13464	2,47337	0,51854
772,7052	2,06152	0,64502	772,7052	2,13719	0,55517	772,7052	2,47349	0,52029
774,27564	2,06215	0,64822	774,27564	2,13724	0,55796	774,27564	2,47364	0,52206
