Environnement : Air / n = 1 
Cube : Argent / n(lambda) / 70 nm
Gap diélectrique / n = 1.45 / 5 nm
Fonctionnalisation diélectrique / n = 1.45 / 1 nm
Couche métallique : Or / n(lambda) / 20 nm
Substrat : SiO2 / n = 1.5 / 200 nm

Wavelengths (nm) 	 Rd 	 Rd_mol	 Ru 	 Ru_mol 	 Td 	 Td_mol	 Tu 	 Tu_mol 
450.0, 0.17303900986460333	, 0.17109637937260055	, 0.09641275691682903	,0.09564686758021905	,0.3071709556506779	,0.3093739058779292	,0.3071709556500715	,0.3093739058773253
1194.3037974683543, 0.7310759893531069	, 0.7248798637147533	, 0.7157983261428746	,0.7053980671261091	,0.16654960801154556	,0.17052297443797285	,0.1665496080099438	,0.1705229744365099
1207.5949367088606, 0.7386165877635749	, 0.7329711030593702	, 0.7264952986587728	,0.7171457805003502	,0.1604969312562758	,0.16413206896970287	,0.16049693125564288	,0.1641320689691041
1220.886075949367, 0.7455964441923076	, 0.7404333126941263	, 0.7362600649220713	,0.7278210496602177	,0.15486657500237483	,0.158203415363324	,0.1548665750020827	,0.1582034153627999
1234.1772151898736, 0.752087011827476	, 0.747350381230592	, 0.7452139910069838	,0.7375691030762286	,0.1496067836053093	,0.1526772472728445	,0.14960678360467006	,0.15267724727216853
1247.4683544303798, 0.7581404270659986	, 0.7537817000302074	, 0.7534408928553097	,0.7464868741666281	,0.14467811653394239	,0.14750908711620772	,0.1446781165351559	,0.14750908711750121
1260.759493670886, 0.7638002014275478	, 0.7597763126483688	, 0.7610200792430091	,0.7546665875918686	,0.14005039446698936	,0.14266595346145677	,0.1400503944669931	,0.1426659534613709
1274.0506329113923, 0.7691058133823405	, 0.7653790190165395	, 0.7680275823983186	,0.7621979020403382	,0.13569768372587981	,0.1381197723280652	,0.1356976837256102	,0.13811977232763942
1287.3417721518986, 0.7740934811344053	, 0.7706314340639834	, 0.774532489105448	,0.7691633559534289	,0.1315964736695625	,0.13384493568673528	,0.13159647366975966	,0.13384493568685174
1300.632911392405, 0.7787960769202407	, 0.7755717698218457	, 0.7805951514173916	,0.7756353048870914	,0.12772471059936724	,0.12981689726068715	,0.1277247105990694	,0.12981689726040269
1313.9240506329115, 0.7832414407984939	, 0.7802320613482724	, 0.7862639477201112	,0.7816701562066728	,0.12406190945926285	,0.12601247920725256	,0.12406190945966412	,0.12601247920762446
